Directory,ISMI ID
Glaser_6,145880
Glaser_21,472112
Glaser_40,481090
Glaser_83,481085
Glaser_103,481290
Glaser_163,480464
Glaser_227,464680
Landberg_33,480259
Landberg_56,480557
Landberg_58,144902
Landberg_63,442010
Landberg_68,480407
Landberg_71,480220
Landberg_108,460623
Landberg_110,480419
Landberg_131,480658
Landberg_132,480185
Landberg_144,480376
Landberg_199,481126
Landberg_221,480788
Landberg_390,480683
Landberg_493,439576
Landberg_517,461412
Landberg_528,437613
Landberg_558,464033
Landberg_574,480515
Landberg_608,137164
Landberg_656,468322
Landberg_669,480756
Landberg_720,198301
Landberg_721,464249
Landberg_724,441989
Landberg_725,441276
Landberg_734,465106
Landberg_801,463954
Landberg_808,467500
Landberg_880,349584
Landberg_901,472121
Landberg_953,441306
Landberg_1038,480498
Landberg_1045,467745
Minutoli_190,459099
Petermann_II_124,481155
Petermann_II_228,480675
Petermann_II_369,350093
Petermann_II_396,461460
Petermann_II_466,481312
Petermann_II_681,146054
Petermann_I_67,439777
Petermann_I_669,141122
Petermann_I_671,481241
Petermann_I_672,481440
Petermann_I_673,480425
Petermann_I_674,480356
Sprenger_1824a,440620
Sprenger_1835,480732
Sprenger_1837,465416
Sprenger_1838,480194
Sprenger_1841,450444
Sprenger_1844,480346
Sprenger_1847a,480336
Sprenger_1848,464996
Sprenger_1849,470213
Sprenger_1855,459988
Sprenger_1857,465960
Sprenger_1858,472093
Sprenger_1863,441663
Sprenger_1866,441605
Sprenger_1869,144904
Sprenger_1872,462760
Sprenger_1876,480600
Sprenger_1877,480727
Sprenger_1979,468642
Wetzstein_II_1127,146944
Wetzstein_II_1129,481132
Wetzstein_II_1130,464789
Wetzstein_II_1132,133740
Wetzstein_II_1134,472061
Wetzstein_II_1135,480331
Wetzstein_II_1136,197165
Wetzstein_II_1138,480546
Wetzstein_II_1138a,480386
Wetzstein_II_1139,481144
Wetzstein_II_1142,472077
Wetzstein_II_1143,466332
Wetzstein_II_1146,472069
Wetzstein_II_1148,468651
Wetzstein_II_1149,480631
Wetzstein_II_1150,480591
Wetzstein_II_1152,469279
Wetzstein_II_1713,369953
Wetzstein_II_1736a,466373
Wetzstein_II_1766,464549
Wetzstein_II_1791,369994
Wetzstein_II_1810,464949
Wetzstein_II_1811,461586
Wetzstein_II_1813,470243
Wetzstein_II_1817,463300
Wetzstein_II_1825,148080
Wetzstein_II_1834,470346
Wetzstein_II_1869,480397
Wetzstein_I_90,480469
Wetzstein_I_175,480717
Wetzstein_I_179,468933
Wetzstein_I_191,464751
Wetzstein_I_193,465739
